"Населено място","Търговски обект","Наименование на продукта","Код на продукта",Категория,"Цена на дребно","Цена в промоция"
68134,1,"Шампоан Sebastian Professional Dark Oil, 50 мл",D006YTMBM,82,6.13,
68134,1,"Черен чай Dammann, Breakfast, 24 пакетчета, Индивидуално опаковани, 48 гр",D02NPLBBM,72,15.33,
68134,1,"Детски шампоан 2-in-1 за деца Garnier Botanic Therapy Kids Oat Delicacy с органично овесено мляко, 250 мл",D03W7QMBM,82,3.16,
68134,1,"Паста за зъби Colgate Max White Sparkle Diamonds, 75 мл",D056ZYMBM,81,3.06,
68134,1,"Сапун Palmolive Black Orchid, 90 гр",D065QBBBM,83,1.06,
68134,1,"Мляно кафе L'OR Forza, Интензитет 9, 250 гр",D0718DMBM,70,13.29,
68134,1,"Кафе на зърна Jacobs Origins Uganda & Kenya, 1 кг",D07BKJ3BM,71,27.49,
68134,1,"Шампоан Nivea Men Cool Fresh, 250 мл",D07N75YBM,82,3.88,
68134,1,"Сапун Protex Ultra, 90 гр",D085QBBBM,83,1.06,
68134,1,"Паста за зъби Elmex Caries Protection, За защита срещу кариес, 75 мл",D09D4HMBM,81,4.59,
68134,1,"Паста за зъби Elgydium Whitening Cool Lemon, 75 мл",D0GX03MBM,81,6.13,
68134,1,"Мляно кафе Tchibo Privat Kaffee Guatemala Grande, 250 гр",D0JTCBBBM,70,14.82,
68134,1,"Тоалетна хартия Pufina Sensitive, 8 ролки, 3 слоя",D0JWKMYBM,85,4.51,
68134,1,"Кафе на зърна Lavazza Crema e Aroma, 1 кг",D0NCZZBBM,71,23.98,
68134,1,"Паста за зъби Parodontax, Gum+ Breath & Sensitivity Whitening, 75 мл",D0Q4X2YBM,81,5.61,
68134,1,"Паста за зъби Parodontax Ultra Clean, 75 мл",D0VJ53BBM,81,4.59,
68134,1,"Кафе на зърна Tchibo Barista Caffe Crema, 1 кг",D0Y5P5BBM,71,28.6,
68134,1,"Паста за зъби Parodontax Classic, 75 мл",D0Z2ZBBBM,81,4.59,
68134,1,"Паста за зъби Colgate Herbal Original, 100 мл",D0ZDMDBBM,81,5.99,
68134,1,"Кафе на зърна Borbone Gran Bar Blu, 1000 гр",D0ZZJJYBM,71,22.49,
68134,1,"Четка за зъби Colgate 360 Black Med",D11L32BBM,80,4.74,
68134,1,"Черен чай Taylors of Harrogate Yorkshire Classic, 20 индивидуално опаковани пакетчета, 62,5 гр",D122N1BBM,72,4.59,
68134,1,"Чай Rooiboos Citrus Dammann, 24 пакетчета, Индивидуално опаковани, 48 гр",D12NPLBBM,72,15.33,
68134,1,"Кафе на зърна Borbone Grani Deka, 1 кг",D18KC3MBM,71,26.07,
68134,1,"Паста за зъби Oral-B Professional Gum & Enamel Pro-Repair Gentle Whitening, 75 мл",D1BQNNMBM,81,4.03,
68134,1,"Паста за зъби Lacalut Baby (0-4 години), 50 мл",D1GWCKBBM,81,2.8,
68134,1,"Паста за зъби Lacalut Black&White, 75 мл",D1P8N8MBM,81,4.59,
68134,1,"Мицеларен шампоан Mixa Baby, С деликатна формула за бебета и деца, 250 мл",D1QDX0MBM,82,15.99,
68134,1,"Паста за зъби La Saponaria, Избелваща, С мента и въглен, 75 мл",D1S3FXYBM,81,5.61,
68134,1,"Четка за зъби Elgydium Interactive Medium, Различни цветове",D1S6R3BBM,80,4.59,
68134,1,"Мляно кафе Hardy в метална кутия 250гр, Europe",D1S9H5YBM,70,11.24,
68134,1,"Шампоан Gerovital Men, За ежедневна употреба, 400 мл",D1TXT3MBM,82,4.59,
68134,1,"Шампоан за тънка коса Bioderma Node, 400мл",D1V9WBBBM,82,14.82,
68134,1,"Черен чай Yorkshire Decaf Bedtime Brew, Taylors of Harrogate, 40 пакетчета чай без индивидуална опаковка, 100 гр",D21Q7GBBM,72,4.89,
68134,1,"Черен чай, Taylors of Harrogate, Безкофеинов, 100 индивидуално опаковани пакетчета, 250 гр.",D272N1BBM,72,28.99,
68134,1,"Паста за зъби Elmex Sensitive, За чувствителни зъби, 75 мл",D29D4HMBM,81,4.59,
68134,1,"Кафе на зърна Tchibo Variazione, 1 кг",D2BWZHYBM,71,21.67,
68134,1,"Паста за зъби Lacalut Aktiv Herbal, 75 мл",D2DHG2BBM,81,3.77,
68134,1,"Паста за зъби Ecodenta, Cosmos Organic, Избелваща, С екстракт от папая, 75 мл",D2G55MMBM,81,17.99,
68134,1,"Деликатен шампоан Apivita, лайка и мед, 250 мл",D2HZ5LMBM,82,7.66,
68134,1,"Паста за зъби Swissdent Crystal RDA 14, За избелване, възстановяване и реминерализация, 100 мл",D2JBHFYBM,81,23,
68134,1,"Шампоан Herbal Essences, С кокосово мляко, 400 мл",D2KRCKMBM,82,17.99,
68134,1,"Кремообразен шампоан Le Petit Olivier, Със сладки бадеми и оризов крем, 250 мл",D2T94JYBM,82,3.77,
68134,1,"Паста за зъби Vademecum Junior Strawberry 6+, 75 мл",D2VX4YBBM,81,1.63,
68134,1,"Паста за зъби Lacalut White Alpenminze, 75 мл",D2WWCKBBM,81,4.59,
68134,1,"Кафе на зърна Borbone CREMA CLASSICA SELECTION, 1kg",D2ZZJJYBM,71,21.99,
68134,1,"Паста за зъби с флуорид Intermed Unident Kids 1000 ppm, За деца, 50 мл",D3013JYBM,81,4.59,
68134,1,"Черен чай Taylors of Harrogate Yorkshire Biscuit Brew, 40 пакетчета без индивидуална опаковка, 112 гр",D31Q7GBBM,72,4.89,
68134,1,"Паста за зъби Oral-B Sensitivity & Gum Calm Original, 75 мл",D33KTT3BM,81,4.03,
68134,1,"Паста за зъби Colgate Max White Ultra Multiprotect, 50 мл",D3412MYBM,81,5.77,
68134,1,"Сапун Protex Cream, 90 гр",D385QBBBM,83,1.06,
68134,1,"Мляно кафе Julius Meinl Vienna Melange, 220 гр",D3CJYGMBM,70,10.73,
68134,1,"Паста за зъби Elgydium Kids, С аромат на банан, 2-6 години, 50 мл",D3GX03MBM,81,4.59,
68134,1,"Хидратиращ шампоан Biolage Hydra Source, С алое и хиалуронова киселина, За всички типове коса, 400 мл",D3MT7P3BM,82,17.89,
68134,1,"Паста за зъби Colgate Elixir Cool Detox, 80 мл",D3VG6NMBM,81,21.99,
68134,1,"Чай Taylors of Harrogate, С лимон и джинджифил, 20 пакетчета, 40 гр",D3Y3TZBBM,72,6.13,
68134,1,"Плодов чай Dammann Carcadet Nuit d'ete, 24 пакетчета, Индивидуално опаковани, 96 гр",D42NPLBBM,72,19.99,
68134,1,"Паста за зъби bio Vademecum Complete Protection, 75 мл",D45803MBM,81,3.06,
68134,1,"Билков чай J.T. Ronnefeldt, Teavelope® Peppermint, 25 пакетчета, 50 гр",D45V8MBBM,72,8.18,
68134,1,"Сапун Palmolive Naturals Almond, 90 гр",D466ZYMBM,83,2.99,
68134,1,"Антибактериални мокри кърпичкиWet Hankies Extra Safe, 63 броя",D4689KMBM,84,3.06,
68134,1,"Паста за зъби Aquafresh Velvet White, 125 мл",D4N0R3BBM,81,2.55,
68134,1,"Сапун Palmolive Hygiene Plus Aloe, 90 г",D4PLSTMBM,83,1.06,
68134,1,"Кафе на зърна Dallmayr Home Barista Crema e Aroma, 1 кг",D4QNTRYBM,71,27.99,
68134,1,"Мицеларен шампоан Nivea Pure Detox, За веки тип коса, 400 мл",D4WX9BMBM,82,16.99,
68134,1,"Шампоан Londa Professional Velvet Oil, С арганово масло за блестяща и хидратирана коса, 250 мл",D4XVV2MBM,82,6.74,
68134,1,"Паста за зъби Sensodyne Extra Whitening, За чувствителни зъби, 100 мл",D514B2MBM,81,5.1,
68134,1,"Кафе на зърна Melitta Bellacrema intenso, 1 кг",D53V1SMBM,71,26.07,
68134,1,"Паста за зъби Colgate Total Original, 20 мл",D556ZYMBM,81,1.32,
68134,1,"Четка за зъби Trisa Pro Interdental Medium 664332 Бял",D56L13BBM,80,3.21,
68134,1,"Кафе на зърна Jacobs Barista Crema Italiano, 1кг",D58DXHMBM,71,34.26,
68134,1,"Паста за зъби Lacalut Sensitive Whitening, 75 мл",D5CH74MBM,81,4.59,
68134,1,"Кафе на зърна Melitta CafeBar Selection, Espresso Intense, 1 кг",D5FDYMYBM,71,19.94,
68134,1,"Тоалетна хартия Regina, Алое вера, 3 пласта, 8 ролки",D5FKJJYBM,85,5.11,
68134,1,"Четка за зъби Lacalut Baby (4-8 години), Различни цветове",D5GWCKBBM,80,2.8,
68134,1,"Комплект четки за зъби Swissdent Gentile Klosters, White, Pink, Blue, 3 бр",D5JBHFYBM,80,9.7,
68134,1,"Паста за зъби Blend-a-med 3D White Charcoal, 100 мл",D5M8ZJMBM,81,8.99,
68134,1,"Паста за зъби Colgate Max White One, 75 мл",D5N70TBBM,81,4.08,
68134,1,"Паста за зъби Lacalut Kids, 2-6 години, 55 мл",D5P8N8MBM,81,3.21,
68134,1,"Четка за зъби Lacalut Sensitive",D5Q4D4MBM,80,3.06,
68134,1,"Паста за зъби Aquafresh Active White, 125 мл",D5TMF6BBM,81,1.88,
68134,1,"Паста за зъби Sensodyne Anticarie, 75 мл",D614B2MBM,81,4.08,
68134,1,"Четка за зъби Colgate Max White Medium, Различни цветове",D615QBBBM,80,7.99,
68134,1,"Паста за зъби Pearl Drops Instant White & Shine, 50 мл",D61FQBBBM,81,4.08,
68134,1,"Кафе на зърна Melitta Barista espresso, 1 кг",D63V1SMBM,71,25.99,
68134,1,"Паста за зъби Colgate Total Original, 50 мл",D656ZYMBM,81,6.99,
68134,1,"Плодов чай J.T. Ronnefeldt, Leafcup® Winter Harmony, 15 пакетчета, 48 гр",D65V8MBBM,72,8.69,
68134,1,"Дерматолигичен блок Sebamed, Против акне, Без сапун, 100 гр",D67FH3BBM,83,4.28,
68134,1,"Шампоан против пърхот Vichy Dercos за нормална и мазна коса, еко пълнител, 390 мл",D67LRJ3BM,82,17.63,
68134,1,"Кафе на зърна Jacobs Expertenrostung Crema Intenso, 1 кг",D68DXHMBM,71,26.27,
68134,1,"Паста за зъби Baby Organic Bio, 30 мл",D69GKYYBM,81,4.9,
68134,1,"Шампоан Gliss Aqua Revive, С морски водорасли и комплекс Хиалурон, За нормална и суха коса, 250 мл",D6B9HJMBM,82,2.55,
68134,1,"Паста за зъби Lacalut Multi-effect, 75 мл",D6GWCKBBM,81,3.77,
68134,1,"Комплект четки за зъби Swissdent Colours Zug, Black, Red, Blue, 3 бр",D6JBHFYBM,80,35.99,
68134,1,"Паста за зъби Colgate Max White Expert Purifying Power, 75 мл",D6K6PK3BM,81,5.61,
68134,1,"Паста за зъби Parodontax Complete Protection Extra Fresh, 75 мл",D6MMG9BBM,81,5.1,
68134,1,"Четка за зъби Trisa Junior, продуктов код 669083",D6MZ13BBM,80,3.06,
68134,1,"Тоалетна хартия Onda, Лайка, 8 ролки, 3 слоя",D6PCLJYBM,85,5.11,
68134,1,"Четка за зъби Lacalut White, Различни цветове",D6Q4D4MBM,80,3.06,
68134,1,"Кафе на зърна Barissimo Caffe Crema & Aroma, 1кг",D6S1ZNYBM,71,21.46,
68134,1,"Паста за зъби Oral B Stages Frozen Cars, За деца, 3-5 години, 75 мл",D6S37TMBM,81,6.99,
68134,1,"Кафе на зърна Jacobs Barista Espresso Italiano, 1 кг",D6TLJMMBM,71,37.03,
68134,1,"Шампоан L'Oreal Paris Elseve Argila, Почистващ, 400 мл",D6ZN07BBM,82,6.64,
68134,1,"Мокри кърпички за стъкло XXL Poliboy, 24 бр.",D733WCMBM,84,6.64,
68134,1,"Паста за зъби Colgate Advanced White, 50 мл",D756ZYMBM,81,2.04,
68134,1,"Trisa Четка за зъби Natural Clean Soft, дървена",D76SMYMBM,80,3.82,
68134,1,"Билков чай J.T. Ronnefeldt, Leafcup® Rooibos Cream Orange, 15 пакетчета, 45 гр",D76V8MBBM,72,8.69,
68134,1,"Паста за зъби Elmex Sensitive Whitening, За чувствителни зъби, 75 мл",D79D4HMBM,81,4.59,
68134,1,"Паста за зъби Sensodyne Complete Protection, 75 мл",D7L2ZBBBM,81,5.61,
68134,1,"Хидратиращ шампоан Gloss.Me Design.Me, 300 мл",D7Q2MVYBM,82,21.98,
68134,1,"Четка за зъби Colgate Zig-Zag 1+1, Различни цветове",D7Q5QBBBM,80,2.55,
68134,1,"Паста за зъби Beverly Hills Professional White Advanced Black Pearl Whitening, 100 мл",D7SPVHMBM,81,11.24,
68134,1,"Кафе на зърна Beans Mogi Quintessenza, 1 кг",D7TYS6YBM,71,42.43,
68134,1,"Паста за зъби с хиалуронова киселина Parodontax Gum Stregthen & Protect Fresh Mint, 75 мл",D7VX8SYBM,81,5.61,
68134,1,"Кафе на зърна Borbone Crema Superiore, 1kг",D7ZZJJYBM,71,23.66,
68134,1,"Чай с ябълка и канела, Taylors of Harrogate, 20 индивидуално опаковани пакета, 50 гр.",D822N1BBM,72,6.13,
68134,1,"Кафе на зърна Melitta CafeBar, Selection, Intense Crema, 1 кг",D82JK93BM,71,19.94,
68134,1,"Кафе на зърна Melitta Bellacrema la Crema, 1 кг",D83V1SMBM,71,21.71,
68134,1,"Паста за зъби Colgate Total Whitening Pump, 100 мл",D856ZYMBM,81,5.1,
68134,1,"Шампоан против пърхот Vichy Dercos за нормална и суха коса, еко пълнител, 390 мл",D87LRJ3BM,82,17.63,
68134,1,"Шампоан Kundal, С кофеин, 500 мл",D8B7STYBM,82,39.99,
68134,1,"Чай Teekanne Fruit Kiss, 20 пакетчета, 45 г",D8FFSLBBM,72,5.99,
68134,1,"Паста за зъби Colgate Max White Ultra Active Foam, За избелване, 50 мл",D8FLH4MBM,81,5.1,
68134,1,"Паста за зъби Lacalut Kinder Teens (над 8 години), 50 мл",D8GWCKBBM,81,2.8,
68134,1,"Твърд сапун Protex PRO Balance, 90 гр",D8K6PK3BM,83,1.06,
68134,1,"Четка за зъби Lacalut Flora",D8Q4D4MBM,80,3.57,
68134,1,"Кафе на зърна Eduscho Espresso Classic, 1кг",D8WGZHYBM,71,20.35,
68134,1,"Паста за зъби Marvis Clasic Strong Mint, 85 мл",D8XPVHMBM,81,17.99,
68134,1,"Паста за зъби Colgate Total Advanced Gum Care, За пълна защита, 75 мл",D902MQMBM,81,11.99,
68134,1,"Черен чай Dammann Caramel, 24 пакетчета, Индивидуално опаковани, 48 гр",D92NPLBBM,72,15.33,
68134,1,"Паста за зъби Sensodyne Clinical Repair Active Clean, За чувствителност на зъбите, 75 мл",D93J1JYBM,81,7.15,
68134,1,"Паста за зъби Sensodyne Rapid Relief, 75 мл",D95ZKNBBM,81,6.13,
68134,1,"Паста за зъби Pearl Drops Instant Natural, 75 мл",D98SLMYBM,81,5.1,
68134,1,"Четка за зъби Oral-B Complete 5 Way Clean 40 Medium, 1+1 Подарък",D9BNWBBBM,80,3.06,
68134,1,"Кафе на зърна Kimbo Classico Espresso, 1 кг",D9CT77YBM,71,28.63,
68134,1,"Четка за зъби Elgydium Albire Medium, Различни цветове",D9FHH2BBM,80,4.59,
68134,1,"Черен чай Yorkshire Gold Taylors of Harrogate, 200 пакетчета, 625 гр",D9GMT2MBM,72,44.48,
68134,1,"Комплект четки за зъби Swissdent Bio Set, Пластмаса, Green, White, Black, 3 бр",D9JBHFYBM,80,10.47,
68134,1,"Кафе на зърна Lavazza Oro Mountain Grown, 1 кг",D9NNHLMBM,71,29.51,
68134,1,"Шампоан с рициново масло Wash&Go, 360 мл",D9Q437YBM,82,3.26,
68134,1,"Паста за зъби SPLAT SENSITIVE WHITE, 100 мл",D9QJKXMBM,81,10.99,
68134,1,"Тоалетна хартия Pufina Lux, Лавандула, 8 ролки, 3 пласта",D9ZZJMMBM,85,4.45,
68134,1,"Мляно кафе Illy Espresso CLASSICO, 250гр",DB0L3LBBM,70,11.74,
68134,1,"Паста за зъби Colgate Advanced White Pump, 100 мл",DB56ZYMBM,81,5.61,
68134,1,"Шампоан Maui, За всеки тип коса, 385 мл",DBC4ZHYBM,82,9.09,
68134,1,"Дерматолoгичен блок Sebamed,100 гр",DBDFH3BBM,83,4.59,
68134,1,"Гъвкава бяла дуо средна четка Код 682195",DBG1WMMBM,80,4.08,
68134,1,"Паста за зъби Swissdent Extreme RDA40, За избелване, 100 мл",DBJBHFYBM,81,12.98,
68134,1,"Паста за зъби Cattier Dentargile, Bio, С прополис, Защита за чувствителни зъби, 75 мл",DBN98FMBM,81,5.61,
68134,1,"Освежаващ натурален сапун с жасмин, Apivita, 125 гр",DBNKL3MBM,83,2.9,
68134,1,"Кафе на зърна Davidoff Rich Aroma, 1 кг",DBPXKV3BM,71,38.99,
68134,1,"Четка за зъби Colgate Zig-Zag Medium",DBQL32BBM,80,1.63,
68134,1,"Кафе на зърна Beans Republic Brasiliero, 100% Arabica, 1 кг",DBSJS4YBM,71,28.11,
68134,1,"Паста за зъби Beverly Hills Perfect White Black Sensitive, 100 мл",DBSPVHMBM,81,13.99,
68134,1,"Паста за зъби Lacalut Multi-Effect Deep-Cleaning, 75 мл",DBX8N8MBM,81,4.08,
68134,1,"Паста за зъби Parodontax Complete Protection Herbal Sensation, 75 мл",DC0GP3YBM,81,4.9,
68134,1,"Билков чай J.T. Ronnefeldt, Joy of Tea® Rooibos Cream Orange, 15 пакетчета, 45 гр",DC0L3LBBM,72,12.26,
68134,1,"Плодов чай Dammann Carcadet Provence, 24 пакетчета, Индивидуално опаковани, 96 гр",DC2NPLBBM,72,19.42,
68134,1,"Паста за зъби Colgate Total Active Fresh, 100 мл",DC56ZYMBM,81,4.08,
68134,1,"Тоалетна хартия Regina, Лайка, 3 пласта, 8 ролки",DCFKJJYBM,85,5.11,
68134,1,"Кърпички за дезинфекция SOS, Универсални, 10 броя",DCLQ1KMBM,84,7.99,
68134,1,"Кафе на зърна Jacobs Auslese Crema, 1 кг",DCN6CBMBM,71,19.31,
68134,1,"Зелен чай Twinings, С вкус на жасмин, 25 пакетчета, 45 гр",DCPCCLBBM,72,5.61,
68134,1,"Сапун Palmolive Hygiene Plus Eucalypt, 90 г",DCPLSTMBM,83,1.06,
68134,1,"Паста за зъби La Saponaria с ягода за деца, 75 мл",DCS3FXYBM,81,6.64,
68134,1,"Кафе на зърна Julius Meinl Classic Collection Prasident, 1 кг",DCX1DMMBM,71,34.25,
68134,1,"Сапун Palmolive Milk & Rose, 90 гр",DD65QBBBM,83,1.06,
68134,1,"Тоалетна хартия Zewa Exclusive Almond Milk, 4 слоя, 8 ролка",DDCKS3BBM,85,6.64,
68134,1,"Мляно кафе Taylors of Harrogate, After Dark, 100% арабика, 200 гр",DDCMBTYBM,70,8.68,
68134,1,"Кафе на зърна Segafredo Caffe Crema Classico, 1 кг",DDCT77YBM,71,27.99,
68134,1,"Кафе на зърна Dallmayr Crema Doro, 1 кг",DDFFSLBBM,71,22.2,
68134,1,"Кафе на зърна Tchibo Espresso Sicilia Style, 1000 гр",DDFZJBBBM,71,24.95,
68134,1,"Паста за зъби Blend-a-Med Anti-cavity Original, 125 мл",DDK2P6BBM,81,4.99,
68134,1,"Комплект Colgate Max White: Четка за зъби, Medium, 2 бр",DDL7X2BBM,80,3.57,
68134,1,"Четка за зъби Colgate Extra Clean Medium, 2 броя",DDQ5QBBBM,80,1.68,
68134,1,"Успокояващ сапун Avene Cold Cream, 100 гр",DDR7WBBBM,83,7.66,
68134,1,"Хомеопатична паста за зъби Argital Omeobital, 75 мл",DDSXKJ3BM,81,5.87,
68134,1,"Паста за зъби с хиалуронова киселина Parodontax Gum Stregthen & Protect Whitening, 75 мл",DDVX8SYBM,81,5.61,
68134,1,"Черен чай Chai Classic Taylors of Harrogate, 20 торбички, 50 гроя",DDY3TZBBM,72,6.13,
68134,1,"Паста за зъби Colgate Total Advanced Sensitive Care, За пълна защита, 75 мл",DF02MQMBM,81,11.99,
68134,1,"Кафе на зърна Davidoff Cafe Espresso 57, 1 кг",DF0Z28MBM,71,29.41,
68134,1,"Четка за зъби Colgate 360 Base Medium, Синя",DF15QBBBM,80,4.59,
68134,1,"Паста за зъби Elmex Caries Protection Plus Complete Care, За защита от кариес, 75 мл",DF1DSLMBM,81,5.1,
68134,1,"Комплект четки за зъби Colgate ZigZag Charcoal, Medium, 3 броя",DF1PZSMBM,80,3.52,
68134,1,"Черен чай Dammann Pomme d'amour, 24 пакетчета, Индивидуално опаковани, 48 гр",DF2NPLBBM,72,15.33,
68134,1,"Кафе на зърна Kimbo Vending Audace, 1 кг",DF7M97YBM,71,23.76,
68134,1,"Шампоан Schauma 7 Билки, 400 мл",DF8MRBBBM,82,3.57,
68134,1,"Избелваща паста за зъби iWhite, 75 мл",DFB6HYYBM,81,7.66,
68134,1,"Паста за зъби Lacalut Flora, 75 мл",DFCH74MBM,81,4.08,
68134,1,"Билков чай J.T. Ronnefeldt, Teavelope® Winterdream®, 25 пакетчета, 37.5 гр",DFD4CZBBM,72,8.18,
68134,1,"Кафе на зърна Hardy Milano, 1 кг",DFF2HZYBM,71,31.7,
68134,1,"Черен чай Yorkshire Clasic Taylors of Harrogate, 200 пакетчета, 625 гр",DFGMT2MBM,72,49.07,
68134,1,"Чай Teekanne Premium Fruit Selection, 20 пакетчета, 60 гр.",DFJFSLBBM,72,5.11,
68134,1,"Паста за зъби Colgate Total Gum Care & Sensitivity, 100 мл",DFK6PK3BM,81,4.08,
68134,1,"Паста за зъби SPLAT, За здрави венци, 125 гр",DFQJKXMBM,81,11.99,
68134,1,"Паста за зъби Swissdent, Biocare, 50 мл",DFXF3SBBM,81,8.17,
68134,1,"Шампоан Nivea Men Active Clean, 400 мл",DFYYP3BBM,82,5.61,
68134,1,"Паста за зъби Vademecum Expert White & Gentle, С алое вера и бамбукови частици, 75 мл",DG01KTMBM,81,6.99,
68134,1,"Четка за зъби Colgate Classic Deep Clean Medium",DG1L32BBM,80,0.86,
68134,1,"Кафе на зърна Melitta CafeBar Selection, Espresso Classic, 1 кг",DG2JK93BM,71,19.94,
68134,1,"Кафе на зърна Melitta Bellacrema selection des jahres, 1 кг",DG3V1SMBM,71,20.99,
68134,1,"Кафе на зърна Julius Meinl Vienna Espresso, 1кг",DG4JYGMBM,71,44.47,
68134,1,"Кафе на зърна Dallmayr Crema d'Oro Selektion des Jahres, 1 кг",DG4T77YBM,71,32.21,
68134,1,"Паста за зъби Colgate Total Whitening, 100 мл",DG56ZYMBM,81,4.08,
68134,1,"Билков чай J.T. Ronnefeldt, Leafcup® Refreshing Mint, 15 пакетчета, 21 гр",DG5V8MBBM,72,6.35,
68134,1,"Паста за зъби Elgydium Antiplaca, 75 мл",DG8X03MBM,81,5.92,
68134,1,"Шампоан с екстракт от мента Wash&Go , 360 мл",DG9HKQMBM,82,3.26,
68134,1,"Крем-шампоан Le Petit Olivier, Подхранващ, С масло от маслина, карите и арган, 250 мл",DGD94JYBM,82,5.1,
68134,1,"Кафе на зърна Beans Republic, Solaria 100% Арабика, 1 кг",DGFG1J3BM,71,26.58,
68134,1,"Паста за зъби Lacalut Sensitive, 75 мл",DGGWCKBBM,81,3.57,
68134,1,"Детска паста за зъби Vademecum Bio, 6+ години, Мента, 50 мл",DGHYK3MBM,81,2.04,
68134,1,"Комплект четки за зъби Swissdent Colors Arosa, Light rose, Rose, Dark green, 3 бр.",DGJBHFYBM,80,7.05,
68134,1,"Кафе на зърна Beans Republic Revigo, Арабика и Робуста, 1 кг",DGJJS4YBM,71,28.11,
68134,1,"Твърд сапун Protex PRO Hydra Care, 90 гр",DGK6PK3BM,83,1.06,
